,short_name,age,nationality,club_name,overall,potential,value_eur,wage_eur,player_positions,release_clause_eur,team_position,contract_valid_until,pace,shooting,passing,dribbling,defending,Forward,Mid,Back,GK
17,Casemiro,28,Brazil,Real Madrid,89,89,59500000,310000,CDM,122000000.0,CDM,2023.0,65.0,73.0,76.0,72.0,86.0,76.63636363636364,81.2,86.8,13.4
18,Ederson,26,Brazil,Manchester City,88,91,53500000,195000,GK,103000000.0,GK,2024.0,57.0,49.75,38.5,45.25,16.666666666666668,43.27272727272727,47.8,39.8,87.0
19,R. Sterling,25,England,Manchester City,88,90,72500000,270000,"LW, RW",139600000.0,LW,2023.0,93.0,81.0,79.0,90.0,45.0,86.72727272727273,84.8,65.5,12.6
20,J. Kimmich,25,Germany,FC Bayern München,88,90,65000000,145000,"CDM, RB",112100000.0,RDM,2023.0,71.0,72.0,86.0,84.0,81.0,81.54545454545455,87.2,85.9,12.0
21,H. Kane,26,England,Tottenham Hotspur,88,89,71000000,220000,ST,140200000.0,ST,2024.0,68.0,91.0,80.0,80.0,47.0,85.81818181818181,83.2,66.5,10.8
22,P. Dybala,26,Argentina,Juventus,88,89,71000000,190000,"CF, CAM",122500000.0,RS,2022.0,85.0,85.0,84.0,92.0,43.0,87.27272727272727,86.6,64.8,5.2
23,S. Handanovič,35,Slovenia,Inter,88,88,16000000,100000,GK,26400000.0,GK,2021.0,48.5,39.75,28.25,34.75,15.0,32.54545454545455,36.2,33.7,84.8
24,T. Kroos,30,Germany,Real Madrid,88,88,55000000,310000,CM,112800000.0,LCM,2023.0,54.0,81.0,91.0,81.0,71.0,81.9090909090909,86.4,78.8,10.2
25,E. Hazard,29,Belgium,Real Madrid,88,88,58000000,350000,"LW, ST",118900000.0,LW,2024.0,88.0,82.0,83.0,92.0,35.0,86.45454545454545,85.0,61.1,9.0
26,K. Koulibaly,29,Senegal,Napoli,88,88,50000000,140000,CB,85000000.0,LCB,2023.0,75.0,28.0,55.0,68.0,89.0,60.0,67.0,83.1,8.6
27,N. Kanté,29,France,Chelsea,88,88,51000000,190000,"CDM, CM",96900000.0,RDM,2023.0,77.0,66.0,76.0,81.0,86.0,77.81818181818181,83.8,87.2,10.8
28,J. Sancho,20,England,Borussia Dortmund,87,93,69500000,82000,"RM, LM, CAM",132100000.0,RS,2023.0,83.0,74.0,81.0,91.0,37.0,84.63636363636364,84.4,61.7,10.4
29,T. Alexander-Arnold,21,England,Liverpool,87,92,60000000,110000,RB,115500000.0,RB,2024.0,80.0,66.0,87.0,80.0,80.0,78.72727272727273,84.6,83.7,11.2
30,Bruno Fernandes,25,Portugal,Manchester United,87,90,63000000,195000,"CAM, CM",124400000.0,CAM,2025.0,77.0,83.0,88.0,85.0,68.0,84.54545454545455,87.6,77.7,12.6
31,A. Laporte,26,France,Manchester City,87,90,56000000,200000,CB,107800000.0,LCB,2024.0,63.0,50.0,72.0,68.0,88.0,67.45454545454545,73.6,84.3,9.0
32,Fabinho,26,Brazil,Liverpool,87,89,54500000,155000,CDM,104900000.0,CDM,2023.0,67.0,69.0,79.0,77.0,85.0,77.18181818181819,82.4,86.5,9.4
33,A. Robertson,26,Scotland,Liverpool,87,89,53000000,155000,LB,102000000.0,LB,2024.0,82.0,62.0,80.0,80.0,81.0,78.18181818181819,83.4,85.1,10.0
34,Bernardo Silva,25,Portugal,Manchester City,87,88,60000000,230000,"RW, CAM, CM",115500000.0,LCM,2025.0,81.0,77.0,83.0,92.0,51.0,84.63636363636364,85.6,68.4,10.8
35,G. Chiellini,35,Italy,Juventus,87,87,15500000,94000,CB,25600000.0,LCB,2021.0,66.0,46.0,58.0,60.0,90.0,58.0,63.0,81.1,3.0
36,H. Lloris,33,France,Tottenham Hotspur,87,87,27000000,125000,GK,51300000.0,GK,2022.0,55.75,36.0,31.75,40.75,18.333333333333332,34.45454545454545,39.2,36.9,82.6
37,L. Suárez,33,Uruguay,FC Barcelona,87,87,31500000,280000,ST,64600000.0,SUB,2021.0,70.0,90.0,82.0,83.0,51.0,85.9090909090909,84.2,68.5,30.6
38,L. Modrić,34,Croatia,Real Madrid,87,87,24500000,260000,CM,50200000.0,RCM,2021.0,73.0,76.0,89.0,88.0,71.0,82.72727272727273,87.0,80.4,10.4
39,A. Di María,32,Argentina,Paris Saint-Germain,87,87,39000000,160000,"RW, LW",72200000.0,RW,2021.0,83.0,81.0,85.0,88.0,48.0,84.45454545454545,85.2,67.7,10.2
40,W. Szczęsny,30,Poland,Juventus,87,87,34000000,105000,GK,56100000.0,GK,2024.0,49.5,39.0,23.5,37.25,13.333333333333334,32.36363636363637,35.2,32.2,83.2
41,P. Aubameyang,31,Gabon,Arsenal,87,87,45000000,170000,"ST, LW",85500000.0,LW,2021.0,93.0,86.0,75.0,80.0,38.0,85.36363636363636,80.8,61.7,9.6
42,Sergio Busquets,31,Spain,FC Barcelona,87,87,38000000,240000,CDM,77900000.0,SUB,2023.0,42.0,62.0,80.0,80.0,83.0,76.0,82.8,82.8,9.6
43,C. Immobile,30,Italy,Lazio,87,87,48500000,125000,ST,82500000.0,RS,2025.0,84.0,88.0,67.0,83.0,39.0,85.0,78.4,61.8,9.4
44,K. Navas,33,Costa Rica,Paris Saint-Germain,87,87,27000000,110000,GK,50000000.0,GK,2023.0,51.5,38.75,22.75,40.75,16.0,34.54545454545455,37.2,33.8,83.6
45,A. Griezmann,29,France,FC Barcelona,87,87,50500000,290000,"ST, CF, LW",103500000.0,ST,2024.0,79.0,85.0,84.0,88.0,57.0,86.54545454545455,86.4,72.4,12.6
46,H. Son,27,Korea Republic,Tottenham Hotspur,87,87,52500000,165000,"LM, CF",99800000.0,LM,2023.0,88.0,86.0,80.0,87.0,43.0,86.81818181818181,84.0,64.5,10.6
47,Roberto Firmino,28,Brazil,Liverpool,87,87,52000000,190000,CF,96200000.0,CF,2023.0,77.0,80.0,81.0,90.0,61.0,85.63636363636364,86.4,74.2,8.8
48,R. Varane,27,France,Real Madrid,86,88,46500000,220000,CB,98800000.0,RCB,2022.0,82.0,49.0,64.0,64.0,87.0,67.0,73.0,84.5,10.0
49,P. Pogba,27,France,Manchester United,86,87,50000000,190000,"CM, CDM",98800000.0,RDM,2021.0,73.0,81.0,86.0,85.0,66.0,84.45454545454545,86.6,78.3,4.0
50,M. Verratti,27,Italy,Paris Saint-Germain,86,87,50000000,135000,"CM, CDM",96300000.0,LCM,2024.0,64.0,60.0,85.0,90.0,79.0,78.45454545454545,85.8,83.3,12.8
51,A. Gómez,32,Argentina,Atalanta,86,86,34500000,100000,"CAM, CF, ST",58700000.0,LF,2022.0,90.0,79.0,84.0,88.0,39.0,83.54545454545455,83.6,61.7,9.2
52,Piqué,33,Spain,FC Barcelona,86,86,21000000,220000,CB,43100000.0,RCB,2022.0,57.0,61.0,71.0,67.0,86.0,71.36363636363636,76.2,83.6,11.6
53,David Silva,34,Spain,Real Sociedad,86,86,22500000,58000,"CAM, CM",47300000.0,CAM,2022.0,64.0,74.0,88.0,88.0,52.0,82.18181818181819,86.0,66.7,9.2
54,Y. Sommer,31,Switzerland,Borussia Mönchengladbach,86,86,28500000,55000,GK,48500000.0,GK,2023.0,50.5,42.25,24.0,38.75,17.333333333333332,35.54545454545455,38.8,34.1,84.6
55,M. Hummels,31,Germany,Borussia Dortmund,86,86,33000000,93000,CB,56100000.0,CB,2022.0,58.0,58.0,77.0,72.0,89.0,71.54545454545455,78.2,84.4,8.4
56,J. Henderson,30,England,Liverpool,86,86,36500000,140000,"CDM, CM",67500000.0,RCM,2023.0,65.0,74.0,84.0,79.0,81.0,79.36363636363636,84.4,83.8,9.8
57,Jordi Alba,31,Spain,FC Barcelona,86,86,32000000,220000,LB,65600000.0,LB,2024.0,88.0,69.0,81.0,83.0,78.0,81.18181818181819,84.8,83.1,12.0
58,T. Müller,30,Germany,FC Bayern München,86,86,42000000,130000,"CAM, RM, RW",69300000.0,CAM,2023.0,68.0,82.0,82.0,78.0,56.0,84.18181818181819,84.4,70.9,10.4
59,De Gea,29,Spain,Manchester United,86,86,31500000,150000,GK,59900000.0,GK,2023.0,55.25,40.5,31.5,41.0,21.333333333333332,39.27272727272727,43.8,39.4,83.6
60,Carvajal,28,Spain,Real Madrid,86,86,38000000,230000,RB,77900000.0,RB,2022.0,80.0,54.0,78.0,80.0,82.0,76.0,81.4,85.1,13.0
61,J. Vardy,33,England,Leicester City,86,86,28000000,160000,ST,53200000.0,ST,2023.0,88.0,85.0,66.0,78.0,55.0,82.72727272727273,77.2,68.4,12.4
62,K. Havertz,21,Germany,Chelsea,85,93,57000000,105000,"CAM, RM, CF",119700000.0,RM,2025.0,84.0,81.0,79.0,85.0,45.0,84.9090909090909,83.6,64.8,9.4
63,G. Donnarumma,21,Italy,Milan,85,92,41500000,34000,GK,78900000.0,GK,2021.0,49.5,39.75,22.0,40.5,18.666666666666668,35.45454545454545,36.0,33.9,83.6
64,M. de Ligt,20,Netherlands,Juventus,85,92,49500000,80000,CB,91600000.0,SUB,2024.0,72.0,59.0,66.0,69.0,85.0,68.54545454545455,73.0,83.0,11.2
65,M. Rashford,22,England,Manchester United,85,91,53000000,150000,"LM, ST",111300000.0,LM,2023.0,91.0,83.0,78.0,86.0,45.0,84.81818181818181,81.8,65.0,10.6
66,L. Sané,24,Germany,FC Bayern München,85,90,51500000,100000,LM,88800000.0,LM,2025.0,93.0,81.0,79.0,86.0,38.0,84.45454545454545,79.6,60.1,10.4
67,F. de Jong,23,Netherlands,FC Barcelona,85,90,50500000,190000,CM,107300000.0,LCM,2024.0,80.0,64.0,84.0,87.0,76.0,81.27272727272727,86.6,83.6,9.8
68,Marquinhos,26,Brazil,Paris Saint-Germain,85,89,44000000,115000,"CB, CDM",84700000.0,RCB,2024.0,72.0,41.0,73.0,70.0,87.0,67.36363636363636,76.0,85.5,9.4
69,C. Lenglet,25,France,FC Barcelona,85,89,44500000,190000,CB,94600000.0,LCB,2023.0,74.0,45.0,67.0,65.0,87.0,65.36363636363636,72.0,82.7,9.6
70,S. Milinković-Savić,25,Serbia,Lazio,85,89,49000000,94000,"CM, CDM, CAM",87000000.0,RCM,2023.0,69.0,79.0,80.0,83.0,79.0,83.0,84.4,82.1,9.4
71,M. Škriniar,25,Slovakia,Inter,85,89,44500000,130000,CB,76800000.0,LCB,2023.0,69.0,41.0,59.0,66.0,87.0,60.45454545454545,67.0,80.9,11.0
72,M. Depay,26,Netherlands,Olympique Lyonnais,85,88,48500000,115000,"CF, LW, CAM",95800000.0,RS,2021.0,86.0,83.0,81.0,84.0,32.0,84.81818181818181,81.8,59.5,10.0
73,T. Werner,24,Germany,Chelsea,85,88,49500000,135000,ST,97800000.0,ST,2025.0,91.0,85.0,69.0,84.0,35.0,84.36363636363636,78.6,58.6,10.0
74,Rodri,24,Spain,Manchester City,85,88,44000000,145000,"CDM, CM",84700000.0,CDM,2024.0,65.0,68.0,77.0,77.0,82.0,76.72727272727273,81.0,81.8,9.8
75,B. Leno,28,Germany,Arsenal,85,87,33500000,105000,GK,66200000.0,GK,2023.0,51.5,41.0,30.25,40.25,19.333333333333332,36.54545454545455,41.4,38.0,83.6
76,S. Gnabry,24,Germany,FC Bayern München,85,87,47500000,100000,"RM, LM, RW",81900000.0,RM,2023.0,82.0,83.0,78.0,86.0,43.0,83.72727272727273,82.4,63.7,10.0
77,Ricardo Pereira,26,Portugal,Leicester City,85,87,40500000,120000,RB,80000000.0,SUB,2023.0,83.0,66.0,79.0,82.0,81.0,79.0,83.4,84.5,13.0
78,R. Lukaku,27,Belgium,Inter,85,86,45000000,165000,ST,77600000.0,RS,2024.0,81.0,83.0,76.0,75.0,38.0,82.27272727272727,79.0,61.4,10.8
79,Luis Alberto,27,Spain,Lazio,85,86,44000000,99000,"CAM, CM, CF",78100000.0,LCM,2022.0,74.0,76.0,86.0,85.0,58.0,82.0,84.6,69.1,8.6
80,M. Icardi,27,Argentina,Paris Saint-Germain,85,86,45000000,135000,ST,86600000.0,RS,2024.0,73.0,85.0,65.0,78.0,36.0,81.63636363636364,74.4,55.5,8.6
81,H. Ziyech,27,Morocco,Chelsea,85,86,44000000,140000,"CAM, RW",86900000.0,SUB,2025.0,80.0,76.0,87.0,84.0,50.0,82.72727272727273,85.4,68.3,10.2
82,Thiago Silva,35,Brazil,Chelsea,85,85,11500000,93000,CB,21900000.0,SUB,2021.0,59.0,54.0,72.0,71.0,86.0,69.0,75.2,83.0,9.0
83,D. Mertens,33,Belgium,Napoli,85,85,24000000,115000,"CF, ST",40800000.0,ST,2022.0,86.0,82.0,80.0,89.0,35.0,83.63636363636364,82.6,59.6,7.8
84,M. Pjanić,30,Bosnia Herzegovina,FC Barcelona,85,85,35500000,220000,"CM, CDM",72800000.0,RCM,2024.0,67.0,68.0,87.0,85.0,75.0,79.27272727272727,84.2,80.4,8.4
85,G. Wijnaldum,29,Netherlands,Liverpool,85,85,37000000,150000,CM,68500000.0,LCM,2021.0,76.0,75.0,81.0,86.0,78.0,82.9090909090909,85.0,83.0,10.8
86,D. Godín,34,Uruguay,Inter,85,85,14500000,135000,CB,23900000.0,RCB,2022.0,57.0,48.0,64.0,61.0,87.0,62.09090909090909,67.6,80.9,9.8
87,T. Alderweireld,31,Belgium,Tottenham Hotspur,85,85,28500000,130000,CB,54200000.0,RCB,2023.0,63.0,55.0,72.0,67.0,87.0,67.27272727272727,74.2,83.6,13.2
88,L. Bonucci,33,Italy,Juventus,85,85,18000000,110000,CB,29700000.0,CB,2024.0,60.0,58.0,69.0,70.0,87.0,67.36363636363636,73.4,82.2,2.6
89,P. Gulácsi,30,Hungary,RB Leipzig,85,85,26000000,65000,GK,44200000.0,GK,2023.0,40.5,41.5,23.5,32.75,19.666666666666668,32.0,33.6,34.0,84.2
90,M. Reus,31,Germany,Borussia Dortmund,85,85,34000000,94000,"CAM, CF",57800000.0,RCM,2023.0,80.0,86.0,84.0,85.0,45.0,84.18181818181819,83.2,64.9,12.2
91,K. Walker,30,England,Manchester City,85,85,30500000,170000,RB,56400000.0,RB,2024.0,92.0,63.0,76.0,77.0,80.0,76.54545454545455,80.4,83.8,11.4
92,Thiago,29,Spain,Liverpool,85,85,37000000,150000,"CM, CDM",68500000.0,SUB,2024.0,64.0,72.0,85.0,90.0,70.0,80.72727272727273,84.6,78.1,9.2
93,Parejo,31,Spain,Villarreal CF,85,85,33000000,59000,CM,69300000.0,RCM,2024.0,50.0,83.0,90.0,81.0,71.0,81.36363636363636,84.2,77.5,9.6
94,C. Eriksen,28,Denmark,Inter,85,85,39000000,155000,"CAM, CM, RM",64400000.0,CAM,2024.0,72.0,81.0,88.0,81.0,53.0,82.27272727272727,85.0,68.8,8.6
95,Alex Sandro,29,Brazil,Juventus,85,85,31500000,120000,"LB, LM",52000000.0,SUB,2023.0,81.0,65.0,77.0,80.0,81.0,77.0,80.4,83.8,8.0
96,Koke,28,Spain,Atlético Madrid,85,85,38000000,92000,"CM, RM, LM",77900000.0,RCM,2024.0,67.0,75.0,85.0,81.0,76.0,81.36363636363636,85.0,82.4,10.8
97,L. Insigne,29,Italy,Napoli,85,85,37500000,120000,"LW, CF",63800000.0,LW,2022.0,88.0,78.0,83.0,91.0,36.0,83.36363636363636,82.0,57.5,9.0
98,R. Mahrez,29,Algeria,Manchester City,85,85,37500000,210000,"RW, RM",69400000.0,RW,2023.0,83.0,79.0,81.0,90.0,38.0,82.9090909090909,82.0,60.0,10.8
99,E. Haaland,19,Norway,Borussia Dortmund,84,92,45000000,56000,ST,85500000.0,LS,2024.0,84.0,87.0,63.0,76.0,43.0,80.54545454545455,73.0,60.3,10.4
100,L. Martínez,22,Argentina,Inter,84,91,44500000,130000,ST,82300000.0,LS,2023.0,83.0,82.0,71.0,85.0,48.0,83.72727272727273,79.6,65.3,9.6
101,Oyarzabal,23,Spain,Real Sociedad,84,90,42500000,47000,"LW, RW",97800000.0,LW,2024.0,81.0,82.0,80.0,84.0,41.0,82.72727272727273,80.4,59.8,10.0
102,N. Süle,24,Germany,FC Bayern München,84,89,37500000,84000,CB,64700000.0,SUB,2022.0,69.0,42.0,59.0,49.0,85.0,56.36363636363637,63.0,79.5,11.6
103,Arthur,23,Brazil,Juventus,84,89,41000000,98000,CM,70700000.0,SUB,2024.0,66.0,73.0,82.0,87.0,75.0,80.54545454545455,84.4,79.3,11.0
104,L. Goretzka,25,Germany,FC Bayern München,84,88,39500000,105000,"CM, CDM",68100000.0,LDM,2022.0,78.0,78.0,80.0,82.0,77.0,83.63636363636364,85.6,83.1,11.2
105,Grimaldo,24,Spain,SL Benfica,84,88,35500000,20000,LB,73700000.0,LB,2023.0,85.0,65.0,79.0,84.0,77.0,78.0,82.4,81.8,10.0
106,A. Martial,24,France,Manchester United,84,88,41000000,155000,ST,81000000.0,ST,2024.0,89.0,83.0,74.0,87.0,41.0,85.0909090909091,80.8,62.9,10.2
107,J. Brandt,24,Germany,Borussia Dortmund,84,88,40500000,75000,"CAM, CM",71900000.0,SUB,2024.0,81.0,78.0,82.0,87.0,51.0,83.27272727272727,84.8,68.6,11.0
108,K. Coman,24,France,FC Bayern München,84,88,40500000,94000,"LM, RM, LW",69900000.0,SUB,2023.0,93.0,76.0,77.0,87.0,29.0,83.18181818181819,80.6,54.9,4.2
109,J. Giménez,25,Uruguay,Atlético Madrid,84,88,36000000,70000,CB,76500000.0,RCB,2023.0,67.0,45.0,53.0,54.0,86.0,54.72727272727273,58.4,79.1,10.4
110,A. Onana,24,Cameroon,Ajax,84,88,30000000,18000,GK,44300000.0,GK,2022.0,58.25,45.5,24.25,44.5,15.666666666666666,39.45454545454545,41.0,34.8,83.8
111,W. Ndidi,23,Nigeria,Leicester City,84,88,36500000,96000,"CDM, CM",72100000.0,CDM,2024.0,71.0,62.0,68.0,74.0,87.0,72.27272727272727,76.6,84.6,10.8
112,Saúl,25,Spain,Atlético Madrid,84,87,38500000,77000,"CM, LM, LB",81800000.0,LM,2026.0,68.0,79.0,79.0,81.0,78.0,82.27272727272727,84.8,82.4,10.2
113,R. Bürki,29,Switzerland,Borussia Dortmund,84,85,25000000,67000,GK,44400000.0,GK,2023.0,44.75,38.25,22.5,36.25,15.666666666666666,31.818181818181817,34.2,31.9,81.8
114,S. de Vrij,28,Netherlands,Inter,84,85,30500000,130000,CB,52600000.0,CB,2023.0,68.0,41.0,62.0,68.0,86.0,61.90909090909091,69.2,81.2,10.4
115,L. Digne,26,France,Everton,84,85,31500000,110000,LB,62200000.0,LB,2023.0,78.0,69.0,80.0,79.0,80.0,77.0,80.6,82.5,9.2
116,R. Guerreiro,26,Portugal,Borussia Dortmund,84,85,36500000,86000,"LM, LB, CM",64800000.0,LM,2023.0,74.0,78.0,84.0,87.0,73.0,81.9090909090909,85.0,78.7,9.0
117,T. Partey,27,Ghana,Atlético Madrid,84,85,35000000,81000,CM,74400000.0,LCM,2023.0,71.0,74.0,81.0,81.0,82.0,80.0909090909091,83.8,84.1,9.8
118,Alex Telles,27,Brazil,FC Porto,84,85,31000000,23000,LB,64300000.0,LB,2021.0,85.0,74.0,83.0,81.0,79.0,80.27272727272727,85.0,83.8,11.6
119,M. Brozović,27,Croatia,Inter,84,85,32000000,125000,"CDM, CM",55200000.0,LCM,2022.0,63.0,74.0,80.0,81.0,79.0,77.0909090909091,82.0,81.1,10.0
120,Fernandinho,35,Brazil,Manchester City,84,84,9500000,110000,"CB, CDM",17600000.0,RCB,2021.0,64.0,72.0,78.0,78.0,85.0,77.45454545454545,82.0,83.6,9.6
121,Jesús Navas,34,Spain,Sevilla FC,84,84,11000000,43000,"RB, RM",23100000.0,RB,2021.0,87.0,69.0,79.0,83.0,80.0,80.18181818181819,82.8,81.0,11.0
122,K. Schmeichel,33,Denmark,Leicester City,84,84,17000000,90000,GK,32300000.0,GK,2023.0,50.75,43.5,30.5,41.5,15.666666666666666,37.0,39.8,34.4,82.0
123,S. Sirigu,33,Italy,Torino,84,84,17000000,54000,GK,28900000.0,GK,2022.0,46.75,39.75,19.5,37.5,14.666666666666666,30.727272727272727,32.6,29.9,81.2
124,Lucas Leiva,33,Brazil,Lazio,84,84,15000000,83000,CDM,25500000.0,CDM,2022.0,60.0,66.0,76.0,78.0,83.0,74.18181818181819,79.6,82.0,7.4
125,A. Witsel,31,Belgium,Borussia Dortmund,84,84,23500000,79000,"CDM, CM",40000000.0,CDM,2022.0,63.0,73.0,81.0,79.0,82.0,79.27272727272727,82.8,83.2,7.2
126,Rui Patrício,32,Portugal,Wolverhampton Wanderers,84,84,19000000,90000,GK,36100000.0,GK,2022.0,54.0,40.5,22.25,41.25,15.666666666666666,35.27272727272727,37.6,33.7,81.2
127,Azpilicueta,30,Spain,Chelsea,84,84,24500000,120000,"RB, LB",46600000.0,RB,2022.0,67.0,55.0,77.0,72.0,84.0,70.54545454545455,77.4,83.8,8.6
128,Douglas Costa,29,Brazil,Juventus,84,84,30500000,120000,"LM, RW, LW",50300000.0,SUB,2022.0,93.0,73.0,79.0,91.0,43.0,82.0909090909091,81.0,63.2,10.8
129,Iago Aspas,32,Spain,RC Celta,84,84,25000000,46000,"ST, RW",52500000.0,ST,2023.0,82.0,85.0,78.0,86.0,35.0,84.0,79.8,57.7,12.4
130,J. Corona,27,Mexico,FC Porto,84,84,32500000,25000,"RM, RB",65000000.0,RB,2022.0,84.0,68.0,78.0,88.0,77.0,80.63636363636364,82.8,80.2,10.0
131,I. Gueye,30,Senegal,Paris Saint-Germain,84,84,25500000,105000,"CDM, CM",47200000.0,RCM,2023.0,69.0,61.0,71.0,78.0,85.0,72.9090909090909,78.0,83.4,9.4
132,D. Alaba,28,Austria,FC Bayern München,84,84,27500000,105000,"CB, LB",45400000.0,LCB,2021.0,77.0,70.0,81.0,79.0,83.0,79.36363636363636,82.6,84.0,10.0
133,Isco,28,Spain,Real Madrid,84,84,31500000,210000,"CAM, CM, LW",64600000.0,SUB,2022.0,68.0,75.0,82.0,90.0,59.0,80.45454545454545,83.0,70.0,10.2
134,Pizzi,30,Portugal,SL Benfica,84,84,29500000,25000,"RM, CM",59000000.0,CAM,2023.0,75.0,78.0,83.0,83.0,65.0,81.45454545454545,84.0,75.0,12.4
135,W. Ben Yedder,29,France,AS Monaco,84,84,31000000,91000,ST,58900000.0,ST,2024.0,84.0,83.0,77.0,87.0,39.0,84.27272727272727,80.4,60.0,8.4
136,J. Iličić,32,Slovenia,Atalanta,84,84,25000000,92000,"CF, ST",42500000.0,RF,2022.0,70.0,86.0,84.0,85.0,43.0,84.27272727272727,82.8,62.7,10.4
137,R. Jiménez,29,Mexico,Wolverhampton Wanderers,84,84,31000000,140000,ST,58900000.0,ST,2023.0,78.0,82.0,76.0,82.0,49.0,82.9090909090909,81.6,67.5,11.0
138,Felipe,31,Brazil,Atlético Madrid,84,84,23000000,74000,CB,47200000.0,LCB,2022.0,62.0,41.0,58.0,61.0,86.0,58.45454545454545,65.6,80.5,10.0
139,N. Tagliafico,27,Argentina,Ajax,84,84,27500000,27000,LB,38500000.0,LB,2022.0,82.0,56.0,73.0,76.0,82.0,73.72727272727273,77.8,83.4,12.6
140,F. Valverde,21,Uruguay,Real Madrid,83,90,36000000,135000,CM,81000000.0,SUB,2025.0,86.0,74.0,78.0,79.0,77.0,80.36363636363636,83.2,81.8,9.0
141,M. Ødegaard,21,Norway,Real Madrid,83,89,36000000,135000,"CAM, CM, RM",81000000.0,SUB,2023.0,78.0,75.0,84.0,85.0,58.0,80.72727272727273,83.8,70.2,12.4
142,O. Dembélé,23,France,FC Barcelona,83,89,35500000,175000,"LW, RW",79900000.0,RW,2022.0,92.0,77.0,77.0,87.0,36.0,81.63636363636364,80.2,58.9,9.8
143,Gayà,25,Spain,Valencia CF,83,88,30500000,46000,LB,66300000.0,LB,2023.0,84.0,61.0,78.0,80.0,79.0,76.36363636363636,80.4,81.4,10.6
144,T. Strakosha,25,Albania,Lazio,83,88,25500000,57000,GK,45300000.0,GK,2022.0,38.75,39.0,20.0,34.25,18.0,30.454545454545453,30.0,29.4,81.8
145,Pau López,25,Spain,Roma,83,88,25500000,52000,GK,45300000.0,GK,2024.0,44.75,43.25,30.25,38.25,15.666666666666666,34.0,37.2,31.8,82.0
146,J. Gomez,23,England,Liverpool,83,88,31000000,93000,CB,59700000.0,RCB,2024.0,82.0,30.0,66.0,69.0,83.0,62.90909090909091,70.6,81.8,9.8
